Source Url,permID,ALIU Index,Last Name,First Name,First Name Last Name,permID,Name Variants
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX92,"Begeer, Frl. Rudolpha",Begeer,Frl. Rudolpha,Frl. Rudolpha Begeer,ALIUINDEX92,"Frl. Rudolpha Begeer,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX93,"Behrens, Dr. Ewald",Behrens,Dr. Ewald,Dr. Ewald Behrens,ALIUINDEX93,"Dr. Ewald Behrens,Ewald Behrens,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX94,"Bellagamba, Mlle.",Bellagamba,Mlle.,Mlle. Bellagamba,ALIUINDEX94,"Mlle. Bellagamba,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX95,"Bellini, Luigi",Bellini,Luigi,Luigi Bellini,ALIUINDEX95,"Luigi Bellini,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX96,"Beltrand, M. Jacques",Beltrand,M. Jacques,M. Jacques Beltrand,ALIUINDEX96,"M. Jacques Beltrand,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX97,Benatov,Benatov,, Benatov,ALIUINDEX97,"Benatov,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX98,"Benatsky, Dr.",Benatsky,Dr.,Dr. Benatsky,ALIUINDEX98,"Dr. Benatsky,Benatsky,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX99,"Benazit, Henri",Benazit,Henri,Henri Benazit,ALIUINDEX99,"Henri Benazit,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX100,Benedetti,Benedetti,, Benedetti,ALIUINDEX100,"Benedetti,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX101,Benier,Benier,, Benier,ALIUINDEX101,"Benier,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX102,"Berger, Dr. Erik B.",Berger,Dr. Erik B.,Dr. Erik B. Berger,ALIUINDEX102,"Dr. Erik B. Berger,Erik B. Berger,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX103,"Bernard, Jacques",Bernard,Jacques,Jacques Bernard,ALIUINDEX103,"Jacques Bernard,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX104,"Bernard, Madame",Bernard,Madame,Madame Bernard,ALIUINDEX104,"Madame Bernard,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX105,"Berndt, Dr.",Berndt,Dr.,Dr. Berndt,ALIUINDEX105,"Dr. Berndt,Berndt,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX106,"Bernheim Collection, Georges","Bernheim
 Collection",Georges,"Georges Bernheim
 Collection",ALIUINDEX106,"Georges Bernheim Collection,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX107,Bernheim Jeune,Bernheim Jeune,, Bernheim Jeune,ALIUINDEX107,"Bernheim Jeune,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX108,Bernier,Bernier,, Bernier,ALIUINDEX108,"Bernier,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX109,"Bernoulli, Christophe",Bernoulli,Christophe,Christophe Bernoulli,ALIUINDEX109,"Christophe Bernoulli,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX110,"Berta, Action",Berta,Action,Action Berta,ALIUINDEX110,"Action Berta,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX111,Beyer,Beyer,, Beyer,ALIUINDEX111,"Beyer,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX112,"Beyer, Helmuth",Beyer,Helmuth,Helmuth Beyer,ALIUINDEX112,"Helmuth Beyer,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX113,"Beynet, General",Beynet,General,General Beynet,ALIUINDEX113,"General Beynet,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX114,"Bierbach, Ernst",Bierbach,Ernst,Ernst Bierbach,ALIUINDEX114,"Ernst Bierbach,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX115,"Bierbach, Lars",Bierbach,Lars,Lars Bierbach,ALIUINDEX115,"Lars Bierbach,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX116,Bignell,Bignell,, Bignell,ALIUINDEX116,"Bignell,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX117,"Bignou, Etienne",Bignou,Etienne,Etienne Bignou,ALIUINDEX117,"Etienne Bignou,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX118,"Billiet, Director",Billiet,Director,Director Billiet,ALIUINDEX118,"Director Billiet,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX119,"Binder, Dr. Moritz Julius",Binder,Dr. Moritz Julius,Dr. Moritz Julius Binder,ALIUINDEX119,"Dr. Moritz Julius Binder,Moritz Julius Binder,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX120,Bing Collection,Bing Collection,, Bing Collection,ALIUINDEX120,"Bing Collection,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX121,"Birtschansky, Zacharie",Birtschansky,Zacharie,Zacharie Birtschansky,ALIUINDEX121,"Zacharie Birtschansky,Zacharia Birtschanksy,Zacharie Birchansky,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX122,"Bisson, E.",Bisson,E.,E. Bisson,ALIUINDEX122,"E. Bisson,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX123,"Blanc, Pierre",Blanc,Pierre,Pierre Blanc,ALIUINDEX123,"Pierre Blanc,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX124,"Bleye, Willi",Bleye,Willi,Willi Bleye,ALIUINDEX124,"Willi Bleye,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX125,"Bloch, Dr. Vitale",Bloch,Dr. Vitale,Dr. Vitale Bloch,ALIUINDEX125,"Dr. Vitale Bloch,Vitale Bloch,Vitalo Bloch,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX126,Bloch-Bauer Collection,Bloch-Bauer Collection,, Bloch-Bauer Collection,ALIUINDEX126,"Bloch-Bauer Collection,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX127,Blot,Blot,, Blot,ALIUINDEX127,"Blot,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX128,"Bode, Dr.",Bode,Dr.,Dr. Bode,ALIUINDEX128,"Dr. Bode,Bode,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX129,"Bodenschatz, General Karl",Bodenschatz,General Karl,General Karl Bodenschatz,ALIUINDEX129,"General Karl Bodenschatz,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX130,"Boedecker, Alfred",Boedecker,Alfred,Alfred Boedecker,ALIUINDEX130,"Alfred Boedecker,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX131,"Boehler, Julius, Jr.",Boehler,Julius,Julius Boehler,ALIUINDEX131,"Julius Boehler Jr.,,,"
